Target  ▾	RA	DEC	Sp. Type	T_eff [K]	B [mag]	V [mag]	G [mag]	Dist [pc]	Explore data	Data products (ascii)	Data products (csv)
HIP80817	16:30:13.0895	-14:39:49.546	M2.5V/M3V	N/A	13.772	12.280	11.130	21.79	GLS Plot	HIP80817_harps_all-data_v1.dat	HIP80817_harps_all-data_v1.csv
HIP81018	16:32:45.1913	+12:36:45.997	M3.0Ve	N/A	13.642	12.158	11.055	18.50	GLS Plot	HIP81018_harps_all-data_v1.dat	HIP81018_harps_all-data_v1.csv
HIP81084	16:33:41.6097	-09:33:11.936	K9Vkee	4080.3	12.900	11.280	10.525	31.09	GLS Plot	HIP81084_harps_all-data_v1.dat	HIP81084_harps_all-data_v1.csv
HIP8119	01:44:22.2734	-80:34:26.732	K0	5421.5	10.440	9.680	9.529	73.28	GLS Plot	HIP8119_harps_all-data_v1.dat	HIP8119_harps_all-data_v1.csv
HIP81465	16:38:19.6295	-05:01:14.962	K5+V	4516.5	11.562	10.386	9.921	40.29	GLS Plot	HIP81465_harps_all-data_v1.dat	HIP81465_harps_all-data_v1.csv
HIP82283	16:48:45.9606	-15:44:20.158	M1.5Vk:	3844.0	12.365	10.887	10.022	18.96	GLS Plot	HIP82283_harps_all-data_v1.dat	HIP82283_harps_all-data_v1.csv
HIP82323	16:49:15.3035	-14:22:08.642	K4Ve	4023.2	12.620	11.280	10.961	120.98	GLS Plot	HIP82323_harps_all-data_v1.dat	HIP82323_harps_all-data_v1.csv
HIP82357	16:49:42.5798	-65:04:33.880	K6+Vk:	4207.9	11.600	10.300	9.765	28.65	GLS Plot	HIP82357_harps_all-data_v1.dat	HIP82357_harps_all-data_v1.csv
HIP8361	01:47:43.3580	-12:46:14.350	K4Vk:	N/A	10.890	9.760	9.336	36.27	GLS Plot	HIP8361_harps_all-data_v1.dat	HIP8361_harps_all-data_v1.csv
HIP84405	17:15:20.9839	-26:36:10.157	K2V+K1V	N/A	nan	nan	nan	5.96	GLS Plot	HIP84405_harps_all-data_v1.dat	HIP84405_harps_all-data_v1.csv
HIP85360	17:26:34.8582	-32:58:10.832	G3V	5731.0	8.650	8.040	7.845	45.58	GLS Plot	HIP85360_harps_all-data_v1.dat	HIP85360_harps_all-data_v1.csv
HIP86214	17:37:03.6657	-44:19:09.168	M3.5	N/A	12.593	10.946	9.570	5.01	GLS Plot	HIP86214_harps_all-data_v1.dat	HIP86214_harps_all-data_v1.csv
HIP86509	17:40:43.7819	-07:46:12.974	K7V	4201.5	11.500	10.300	10.043	43.90	GLS Plot	HIP86509_harps_all-data_v1.dat	HIP86509_harps_all-data_v1.csv
HIP8691	01:51:48.6866	-10:48:12.487	M3.5	N/A	13.274	11.791	10.857	17.20	GLS Plot	HIP8691_harps_all-data_v1.dat	HIP8691_harps_all-data_v1.csv
HIP87607	17:53:48.5545	-44:17:22.469	M0V	4039.1	12.270	11.420	10.549	31.33	GLS Plot	HIP87607_harps_all-data_v1.dat	HIP87607_harps_all-data_v1.csv
HIP88064	17:59:10.7333	-49:26:00.455	A3	6563.4	11.010	10.730	10.842	893.58	GLS Plot	HIP88064_harps_all-data_v1.dat	HIP88064_harps_all-data_v1.csv
HIP88316	18:02:10.4492	-69:20:26.824	N/A	N/A	10.420	9.550	9.365	58.35	GLS Plot	HIP88316_harps_all-data_v1.dat	HIP88316_harps_all-data_v1.csv
HIP88371	18:02:43.2561	-62:58:45.773	K6Vk:	N/A	11.570	10.520	9.876	31.86	GLS Plot	HIP88371_harps_all-data_v1.dat	HIP88371_harps_all-data_v1.csv
HIP89892	18:20:31.2807	-14:21:41.543	N/A	4533.0	12.050	10.760	10.282	45.46	GLS Plot	HIP89892_harps_all-data_v1.dat	HIP89892_harps_all-data_v1.csv
HIP90194	18:24:15.0480	-46:56:35.449	K0V	5332.2	10.030	9.280	9.095	52.43	GLS Plot	HIP90194_harps_all-data_v1.dat	HIP90194_harps_all-data_v1.csv
HIP90246	18:24:49.2101	-06:21:14.264	K7V	4413.2	11.800	10.500	9.999	41.25	GLS Plot	HIP90246_harps_all-data_v1.dat	HIP90246_harps_all-data_v1.csv
HIP92444	18:50:21.1629	-26:55:25.085	K8Vk	4070.0	11.076	9.680	9.048	17.66	GLS Plot	HIP92444_harps_all-data_v1.dat	HIP92444_harps_all-data_v1.csv
HIP92451	18:50:26.6437	-62:03:03.721	M3V	3960.4	12.180	10.703	9.881	16.74	GLS Plot	HIP92451_harps_all-data_v1.dat	HIP92451_harps_all-data_v1.csv
HIP92592	18:52:01.9896	-54:18:07.147	G3V	5610.3	9.160	8.540	8.345	56.74	GLS Plot	HIP92592_harps_all-data_v1.dat	HIP92592_harps_all-data_v1.csv
HIP93287	19:00:03.5672	-66:39:13.033	K0III	5022.5	6.966	5.971	5.723	113.95	GLS Plot	HIP93287_harps_all-data_v1.dat	HIP93287_harps_all-data_v1.csv
HIP93745	19:05:20.8798	-61:41:24.381	F6V	6022.9	8.810	8.290	8.145	56.11	GLS Plot	HIP93745_harps_all-data_v1.dat	HIP93745_harps_all-data_v1.csv
