stars,spectral_types,specfiles,hits_start,hits_end,waves1,waves2,distances,HorK
GJ143.1,dK7,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:03.223.fits,15247,15277,3933.7,3934.0,21.04,T
GJ143.1,dK7,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:03.223.fits,18728,18756,3968.51,3968.79,21.04,T
GJ182,M0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2017-01-19T01:07:53.695.fits,15205,15256,3933.67,3934.18,24.4,T
GJ182,M0Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2017-01-19T01:07:53.695.fits,18689,18732,3968.51,3968.94,24.4,T
GJ205,M1.5Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:20:22.300.fits,15174,15212,3933.59,3933.97,5.7,T
GJ205,M1.5Ve,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:20:22.300.fits,18656,18690,3968.41,3968.75,5.7,T
GJ2058,M0V:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:06:37.017.fits,15208,15240,3933.4,3933.72,24.34,T
GJ2058,M0V:,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:06:37.017.fits,18689,18718,3968.21,3968.5,24.34,T
GJ208,K6V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:12.893.fits,15232,15265,3933.79,3934.12,11.44,T
GJ208,K6V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-01T10:22:12.893.fits,18712,18747,3968.59,3968.94,11.44,T
